Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,
"Gao, Shang; Pokharel, Ganesh; May, Andrew F; Paddison, Joseph AM; Pasco, Chris; Liu, Yaohua; Taddei, Keith M; Calder, Stuart; Mandrus, David G; Stone, Matthew B; Christianson, Andrew D;",Line-Graph Approach to Spiral Spin Liquids,Phys. Rev. Lett.,129,23,237202,2022,,
"Lin, Ling-Fang; Soni, Rahul; Zhang, Yang; Gao, Shang; Moreo, Adriana; Alvarez, Gonzalo; Christianson, Andrew D; Stone, Matthew B; Dagotto, Elbio; ","Electronic structure, magnetic properties, and pairing tendencies of the copper-based honeycomb lattice Na2Cu2TeO6",Phys. Rev. B,105,24,245113,2022,,
"Gao, Shang; McGuire, Michael A; Liu, Yaohua; Abernathy, Douglas L; dela Cruz, Clarina; Frontzek, Matthias; Stone, Matthew B; Christianson, Andrew D; ",Spiral spin liquid on a honeycomb lattice,Phys. Rev. Lett.,128,22,227201,2022,,
"Rai, Binod K; Gao, Shang; Frontzek, Matthias; Liu, Yaohua; Christianson, Andrew D; May, Andrew F; ",Magnetic properties of Fe-substituted NiBr2 single crystals,J. Magn. Magn. Mater.,557,,169452,2022,North-Holland,
"Khanh, Nguyen Duy; Nakajima, Taro; Hayami, Satoru; Gao, Shang; Yamasaki, Yuichi; Sagayama, Hajime; Nakao, Hironori; Takagi, Rina; Motome, Yukitoshi; Tokura, Yoshinori; Arima, Taka-hisa; Seki, Shinichiro;",Zoology of Multiple‐Q Spin Textures in a Centrosymmetric Tetragonal Magnet with Itinerant Electrons,Adv. Sci.,9,10,2105452,2022,,
"Pokharel, Ganesh; Arachchige, H Suriya; Gao, Shang; Do, Seung-Hwan; Fishman, Randy S; Ehlers, Georg; Qiu, Yiming; Rodriguez-Rivera, Jose A; Stone, Matthew B; Zhang, Hao; Wilson, Stephen D; Mandrus, David G; Christianson, Andrew D;",Spin dynamics in the skyrmion-host lacunar spinel GaV4S8,Phys. Rev. B,104,22,224425,2021,American Physical Society,
"Gao, Shang; Kocsis, Vilmos; Soda, Minoru; Ye, Feng; Liu, Yaohua; May, Andrew F; Taguchi, Yasujiro; Tokura, Yoshinori; Arima, Taka-hisa; Schweika, Werner; Christianson, Andrew D; Stone, Matthew B;",Suppressed incommensurate order in swedenborgite Ca0.5Y0.5BaCo4O7,Phys. Rev. B,104,14,L140408,2021,American Physical Society,https://link.aps.org/doi/10.1103/PhysRevB.104.L140408
"Kolincio, Kamil K; Hirschberger, Max; Masell, Jan; Gao, Shang; Kikkawa, Akiko; Taguchi, Yasujiro; Arima, Taka-hisa; Nagaosa, Naoto; Tokura, Yoshinori; ",Large Hall and Nernst responses from thermally induced spin chirality in a spin-trimer ferromagnet,Proc. Natl. Acad. Sci.,118,33,2023588118,2021,National Academy of Sciences,
"Gao, Shang; May, Andrew F; Du, Mao-Hua; Paddison, Joseph AM; Arachchige, Hasitha Suriya; Pokharel, Ganesh; dela Cruz, Clarina; Zhang, Qiang; Ehlers, Georg; Parker, David S; Mandrus, David G; Stone, Matthew B; Christianson, Andrew D;",Hierarchical excitations from correlated spin tetrahedra on the breathing pyrochlore lattice,Phys. Rev. B,103,21,214418,2021,American Physical Society,
"Sales, BC; Meier, WR; May, AF; Xing, J; Yan, J-Q; Gao, S; Liu, YH; Stone, MB; Christianson, AD; Zhang, Q; McGuire, MA","Tuning the flat bands of the kagome metal CoSn with Fe, In, or Ni doping",Phys. Rev. Mater.,5,4,44202,2021,American Physical Society,
"Meier, William R; Chakoumakos, Bryan C; Okamoto, Satoshi; McGuire, Michael A; Hermann, Raphaël P; Samolyuk, German D; Gao, Shang; Zhang, Qiang; Stone, Matthew B; Christianson, Andrew D; Sales, Brian C;",A catastrophic charge density wave in BaFe2Al9,Chem. Mater.,33,8,2855,2021,,
"Gao, Shang; Lin, Ling-Fang; May, Andrew F; Rai, Binod K; Zhang, Qiang; Dagotto, Elbio; Christianson, Andrew D; Stone, Matthew B; ",Weakly coupled alternating S = 1/2 chains in the distorted honeycomb lattice compound Na2Cu2TeO6,Phys. Rev. B,102,22,220402(R),2020,American Physical Society,
"Gao, Shang; Rosales, H Diego; Albarracín, Flavia A Gómez; Tsurkan, Vladimir; Kaur, Guratinder; Fennell, Tom; Steffens, Paul; Boehm, Martin; Čermák, Petr; Schneidewind, Astrid; Ressouche Eric; Cabra Daniel C; Rüegg, Christian; Zaharko, Oksana;",Fractional antiferromagnetic skyrmion lattice induced by anisotropic couplings,Nature,586,,37,2020,Nature Publishing Group,https://doi.org/10.1038/s41586-020-2716-8
"Hirschberger, Max; Spitz, Leonie; Nomoto, Takuya; Kurumaji, Takashi; Gao, Shang; Masell, Jan; Nakajima, Taro; Kikkawa, Akiko; Yamasaki, Yuichi; Sagayama, Hajime; Nakao, Hironori; Taguchi, Yasujiro; Arita, Ryotaro; Arima, Taka-hisa; Tokura, Yoshinori;",Topological Nernst effect of the two-dimensional skyrmion lattice,Phys. Rev. Lett.,125,7,76602,2020,American Physical Society,
"Gao, Shang; Xiao, Fan; Kamazawa, Kazuya; Ikeuchi, Kazuhiko; Biner, Daniel; Krämer, Karl W; Rüegg, Christian; Arima, Taka-hisa; ",Crystal electric field excitations in the quantum spin liquid candidate NaErS2,Phys. Rev. B,102,2,24424,2020,American Physical Society,
"Gao, Shang; Hirai, Daigorou; Sagayama, Hajime; Ohsumi, Hiroyuki; Hiroi, Zenji; Arima, Taka-hisa; ",Antiferromagnetic long-range order in the 5 d 1 double-perovskite Sr 2 MgReO 6,Phys. Rev. B,101,,220412(R),2020,American Physical Society,
"Hirai, Daigorou; Sagayama, Hajime; Gao, Shang; Ohsumi, Hiroyuki; Chen, Gang; Arima, Taka-hisa; Hiroi, Zenji; ",Detection of multipolar orders in the spin-orbit-coupled 5 d Mott insulator Ba2MgReO6,Phys. Rev. Research,2,2,022063(R),2020,American Physical Society,
"Hirschberger, Max; Nakajima, Taro; Kriener, Markus; Kurumaji, Takashi; Spitz, Leonie; Gao, Shang; Kikkawa, Akiko; Yamasaki, Yuichi; Sagayama, Hajime; Nakao, Hironori; Ohira-Kawamura, Seiko; Taguchi, Yasujiro; Arima, Taka-hisa; Tokura, Yoshinori; ",High-field depinned phase and planar Hall effect in the skyrmion host Gd2PdSi3,Phys. Rev. B,101,,220401(R),2020,American Physical Society,
"Khanh, Nguyen Duy; Nakajima, Taro; Yu, Xiuzhen; Gao, Shang; Shibata, Kiyou; Hirschberger, Max; Yamasaki, Yuichi; Sagayama, Hajime; Nakao, Hironori; Peng, Licong; Nakajima, Kiyomi; Takagi, Rina; Arima, Taka-hisa; Tokura, Yoshinori; Seki, Shinichiro;",Nanometric square skyrmion lattice in a centrosymmetric tetragonal magnet,Nat. Nanotech.,15,,444-449,2020,Nature Publishing Group,
"Gao, Shang; Hirschberger, Max; Zaharko, Oksana; Nakajima, Taro; Kurumaji, Takashi; Kikkawa, Akiko; Shiogai, Junichi; Tsukazaki, Atsushi; Kimura, Shojiro; Awaji, Satoshi; Taguchi, Yasujiro; Arima, Taka-hisa; Tokura, Yoshinori;",Ordering phenomena of spin trimers accompanied by large geometrical Hall effect,Phys. Rev. B,100,,241115(R),2019,,
"Hirschberger, Max; Nakajima, Taro; Gao, Shang; Peng, Licong; Kikkawa, Akiko; Kurumaji, Takashi; Kriener, Markus; Yamasaki, Yuichi; Sagayama, Hajime; Nakao, Hironori; Ohishi, Kazuki; Kakurai, Kazuhisa; Taguchi, Yasujiro; Yu, Xiuzhen; Arima, Taka-hisa; Tokura, Yoshinori;",Skyrmion phase and competing magnetic orders on a breathing kagome lattice,Nat. Commun.,10,,5831,2019,,
"Gao, Shang; Guratinder, Kaur; Tsurkan, Vladimir; Loidl, Alois; Hatnean, M Ciomaga; Balakrishnan, Geetha; Raymond, Stéphane; Chapon, Laurent; Garlea, Vasile Ovidiu; Savici, Andrei T; Stuhr, Uwe; White, Jonathan S; Mansson, Martin; Roessli, Bertrand; Cervellino, Antonio; Bombardi, Alessandro; Chernyshov Dmitry; Fennell, Tom; Rüegg, Christian; Haraldsen, Jason T; Zaharko, Oksana;",Manifolds of magnetic ordered states and excitations in the almost Heisenberg pyrochlore antiferromagnet MgCr2O4,Phys. Rev. B,97,,134430,2018,,
"Gao, Shang; Zaharko, Oksana; Tsurkan, Vladimir; Prodan, Lilian; Riordan, Edward; Lago, Jorge; Fåk, Björn; Wildes, Andrew; Koza, Marek M; Ritter, Clemens; Fouquet, Peter; Keller, Lukas; Canévet, Emmanuel; Medarde, Marisa; Blomgren, Jakob; Johansson, Christer; Giblin, Sean R; Vrtnik, Stanislav ; Luzar, Jože ; Loidl, Alois; Rüegg, Christian; Fennell, Tom;","Dipolar spin ice states with a fast monopole hopping rate in CdEr2X4 (X = Se, S)",Phys. Rev. Lett.,120,13,137201,2018,,https://link.aps.org/doi/10.1103/PhysRevLett.120.137201
"Gao, Shang; Zaharko, Oksana; Tsurkan, Vladimir; Su, Yixi; White, Jonathan S; Tucker, Gregory S; Roessli, Bertrand; Bourdarot, Frederic; Sibille, Romain; Chernyshov, Dmitry; Fennell, Tom; Loidl, Alois; Rüegg, Christian;",Spiral spin-liquid and the emergence of a vortex-like state in MnSc2S4,Nat. Phys.,13,2,157-161,2017,Nature Research,https://doi.org/10.1038/nphys3914
"Wang, Xiaoxiong; Cheng, Xiangyi; Gao, Shang; Song, Junda; Ruan, Keqing; Li, Xiaoguang; ",Room temperature exchange bias in SmFeO3 single crystal,J. Magn. Magn. Mater.,399,,170-174,2016,North-Holland,
"Gao, Shang; Lv, YanDi; Wang, XiaoXiong; Yang, Hongshun; Ruan, Keqing; Li, Xiaoguang; ",Magnetic and dielectric properties of quasi-two-dimensional manganese oxide Sr7Mn4O15,J. Magn. Magn. Mater.,328,,66-71,2013,North-Holland,
